Row No,CPU_Load,Memory_Load,Latency,ORA00600,ORA07445,ORA03113,ORA12154,RCA
632,1,1,1,0,0,1,1,Low Memory
633,1,1,0,0,0,1,1,Low Memory
634,1,1,1,1,0,0,0,Network Latency
635,0,0,0,0,0,0,1,Low Memory
636,1,0,0,1,1,1,1,Database Bug
637,0,1,1,0,0,0,1,Low Memory
638,1,0,1,0,0,1,0,Database Bug
639,1,0,0,1,1,1,0,Database Bug
640,0,0,1,1,1,0,0,Network Latency
641,1,0,0,0,1,0,1,Network Latency
642,1,0,1,0,0,1,0,Database Bug
643,0,0,0,0,0,1,0,Low Memory
644,1,0,0,0,1,1,0,Database Bug
645,0,1,1,1,1,0,0,Network Latency
646,0,0,1,0,0,0,0,Network Latency
647,0,1,0,1,1,0,0,Network Latency
648,1,1,1,1,1,1,0,Database Bug
649,0,0,1,0,0,0,0,Network Latency
650,1,0,0,0,0,1,0,Database Bug
651,0,0,0,0,0,0,1,Low Memory
652,1,0,0,1,1,1,1,Database Bug
653,1,0,0,0,0,1,0,Database Bug
654,1,0,0,0,1,1,1,Database Bug
655,0,0,1,1,1,0,0,Network Latency
656,0,1,0,1,0,1,0,Low Memory
657,0,0,1,0,1,0,1,Network Latency
658,0,1,1,1,0,0,1,Low Memory
659,1,0,0,0,0,1,0,Database Bug
660,1,0,0,0,1,1,0,Database Bug
661,0,0,1,1,1,0,0,Network Latency
662,1,1,0,0,0,1,1,Low Memory
663,1,0,0,0,0,1,0,Database Bug
664,0,1,0,0,0,1,1,Low Memory
665,0,1,1,1,0,1,1,Network Latency
666,0,0,0,0,0,0,1,Low Memory
667,1,1,0,1,0,1,0,Database Bug
668,1,0,0,0,0,1,1,Database Bug
669,0,1,0,0,0,1,1,Low Memory
670,0,0,1,1,0,0,0,Network Latency
671,1,1,0,1,1,0,1,Low Memory
672,1,1,1,0,0,1,0,Database Bug
673,0,1,0,0,0,0,1,Low Memory
674,1,1,0,0,1,0,1,Database Bug
675,0,0,1,1,1,0,0,Network Latency
676,0,1,0,0,0,0,1,Low Memory
677,1,1,1,1,0,0,0,Network Latency
678,1,0,1,1,1,0,0,Network Latency
679,1,0,1,1,1,0,0,Network Latency
680,0,0,1,1,0,0,0,Network Latency
681,1,0,1,1,1,0,0,Network Latency
682,1,1,0,1,0,1,1,Low Memory
683,0,0,1,1,1,0,0,Network Latency
684,0,1,1,0,1,0,1,Low Memory
685,1,0,0,1,0,0,0,Network Latency
686,0,0,1,0,0,1,0,Network Latency
687,1,1,0,0,0,1,0,Database Bug
688,0,1,0,1,1,0,1,Low Memory
689,0,1,1,0,1,1,1,Low Memory
690,1,0,0,0,0,1,0,Database Bug
691,0,1,0,0,1,0,1,Low Memory
692,0,0,0,0,1,0,0,Low Memory
693,0,1,1,0,1,0,1,Low Memory
694,0,1,0,0,0,0,0,Low Memory
695,0,1,0,0,1,0,1,Low Memory
696,0,0,1,1,1,0,0,Network Latency
697,1,0,0,0,0,0,0,Database Bug
698,0,0,0,0,0,0,0,Low Memory
699,1,1,0,1,0,1,1,Low Memory
700,1,1,0,0,1,1,0,Low Memory
701,0,1,0,0,0,0,1,Low Memory
702,0,1,0,1,0,1,1,Low Memory
703,0,0,0,0,0,0,0,Network Latency
704,1,0,0,0,1,1,0,Database Bug
705,0,0,0,1,0,0,1,Low Memory
706,0,0,1,1,1,0,0,Network Latency
707,0,0,1,1,0,0,0,Network Latency
708,1,1,0,0,0,1,0,Database Bug
709,1,0,0,0,0,1,0,Database Bug
710,1,1,1,0,1,0,1,Low Memory
711,0,0,1,1,0,1,0,Network Latency
712,0,0,1,1,0,0,0,Network Latency
713,0,1,0,0,1,0,0,Network Latency
714,1,1,0,0,1,1,0,Database Bug
715,1,1,1,0,0,1,0,Database Bug
716,1,0,0,0,1,1,0,Database Bug
717,0,1,0,0,0,0,0,Low Memory
718,0,0,0,0,1,0,1,Low Memory
719,0,1,0,1,1,0,1,Low Memory
720,0,0,1,1,1,1,1,Network Latency
721,0,1,0,1,0,1,0,Low Memory
722,1,1,0,0,1,0,0,Database Bug
723,1,0,1,0,0,1,0,Network Latency
724,1,0,0,0,1,1,0,Database Bug
725,1,0,0,0,0,1,0,Database Bug
726,0,0,1,1,1,0,0,Network Latency
727,0,1,1,0,1,0,0,Network Latency
728,0,0,0,0,1,0,0,Network Latency
729,0,1,0,0,0,0,0,Low Memory
730,1,0,0,0,0,1,0,Database Bug
731,0,0,1,1,1,0,0,Network Latency
732,1,0,0,0,0,0,0,Low Memory
733,1,0,1,0,0,1,0,Database Bug
734,1,0,0,0,1,0,0,Database Bug
735,0,0,0,0,1,0,1,Database Bug
736,1,1,0,0,1,1,1,Database Bug
737,1,0,0,0,1,0,0,Database Bug
738,0,0,1,1,0,1,1,Network Latency
739,0,1,1,0,1,0,1,Low Memory
740,0,1,0,1,1,0,0,Low Memory
741,0,0,1,1,1,1,0,Network Latency
742,0,1,0,1,1,1,0,Database Bug
743,0,1,1,0,0,1,0,Database Bug
744,1,1,1,0,1,0,1,Low Memory
745,1,0,0,0,1,1,1,Database Bug
746,0,0,1,1,0,0,0,Network Latency
747,1,1,0,1,0,0,1,Low Memory
748,0,0,1,1,1,0,0,Network Latency
749,1,0,1,0,0,1,0,Database Bug
750,0,0,1,1,0,0,0,Network Latency
751,0,0,1,1,0,1,0,Network Latency
752,0,1,0,0,0,1,1,Low Memory
753,1,1,1,1,0,1,1,Database Bug
754,0,0,1,0,0,0,1,Network Latency
755,0,0,0,1,1,1,0,Database Bug
756,0,0,0,0,0,1,0,Database Bug
757,1,0,0,1,1,1,0,Database Bug
758,0,0,0,1,0,0,1,Network Latency
759,0,1,1,0,1,0,0,Network Latency
760,0,1,0,0,1,0,1,Low Memory
761,0,0,1,1,0,1,0,Network Latency
762,0,0,1,1,0,0,0,Network Latency
763,1,0,1,1,1,0,1,Network Latency
764,0,0,0,0,1,1,0,Database Bug
765,1,0,1,1,1,0,0,Network Latency
766,0,0,0,1,1,0,1,Network Latency
767,0,1,0,0,0,0,1,Low Memory
768,1,0,0,0,0,1,0,Database Bug
769,0,1,0,0,0,0,1,Low Memory
770,0,1,0,0,0,0,0,Low Memory
771,1,1,1,1,0,1,0,Database Bug
772,0,1,1,0,1,1,1,Low Memory
773,0,1,0,1,0,0,0,Network Latency
774,0,1,1,1,0,0,1,Low Memory
775,0,1,1,0,0,0,1,Low Memory
776,1,0,0,0,0,0,0,Database Bug
777,0,1,1,1,0,0,1,Low Memory
778,0,1,0,0,1,1,0,Low Memory
779,1,1,0,0,0,0,1,Low Memory
780,0,0,0,0,1,1,0,Database Bug
781,0,0,1,0,0,0,0,Network Latency
782,0,1,1,0,0,1,1,Low Memory
783,1,1,0,0,1,1,0,Database Bug
784,1,0,0,0,1,1,0,Database Bug
785,1,0,0,0,1,1,1,Low Memory
786,1,0,0,0,1,1,0,Database Bug
787,0,1,1,0,0,1,0,Low Memory
788,0,0,1,1,0,0,0,Network Latency
789,0,0,1,1,1,1,0,Database Bug
790,0,1,0,0,0,0,1,Low Memory
791,1,1,0,0,1,0,1,Low Memory
792,1,1,0,0,0,0,1,Low Memory
793,0,0,1,1,1,0,1,Network Latency
794,1,0,1,0,1,0,1,Low Memory
795,1,0,1,1,1,0,0,Network Latency
796,1,0,0,1,1,1,1,Database Bug
797,1,0,0,0,1,0,0,Database Bug
798,1,1,0,0,1,0,0,Database Bug
799,1,1,0,0,1,1,1,Database Bug
800,0,0,0,1,0,0,0,Low Memory
801,1,0,0,1,1,1,0,Database Bug
802,0,0,0,1,1,0,0,Network Latency
803,1,1,0,0,0,0,0,Low Memory
804,0,1,0,0,1,0,1,Low Memory
805,1,1,0,0,1,1,0,Database Bug
806,1,0,0,0,0,0,0,Network Latency
807,1,0,0,1,1,1,0,Database Bug
808,1,0,0,0,0,0,1,Low Memory
809,1,0,0,0,1,1,0,Low Memory
810,0,1,0,0,1,1,0,Database Bug
811,1,0,0,0,1,1,1,Database Bug
812,0,1,0,0,1,1,0,Database Bug
813,0,0,1,1,1,1,1,Network Latency
814,1,0,1,0,1,1,0,Database Bug
815,1,0,0,0,1,1,0,Database Bug
816,1,0,0,0,0,1,0,Database Bug
817,1,1,1,0,0,0,1,Low Memory
818,0,0,1,1,1,0,0,Network Latency
819,1,0,0,0,0,1,0,Database Bug
820,1,0,0,0,1,0,0,Low Memory
821,1,0,0,0,1,1,0,Database Bug
822,1,0,0,1,1,1,0,Database Bug
823,0,0,1,0,1,0,1,Network Latency
824,0,1,0,0,0,0,1,Low Memory
825,0,0,0,1,0,0,1,Network Latency
826,0,0,1,1,0,1,0,Network Latency
827,0,0,0,0,1,1,0,Database Bug
828,1,1,0,0,1,0,1,Low Memory
829,1,0,0,1,0,1,0,Database Bug
830,0,0,1,1,0,0,0,Network Latency
831,0,1,1,1,1,1,0,Network Latency
832,0,0,1,0,1,0,0,Network Latency
833,1,0,0,0,0,0,0,Database Bug
834,1,0,0,0,1,0,0,Database Bug
835,0,0,1,1,0,0,0,Network Latency
836,0,0,0,0,1,0,0,Network Latency
837,0,1,1,1,0,1,1,Network Latency
838,1,1,0,0,1,0,1,Low Memory
839,1,1,1,1,1,0,1,Low Memory
840,1,1,0,0,1,1,1,Low Memory
841,1,0,1,1,0,0,0,Network Latency
842,1,1,0,1,0,1,1,Database Bug
843,0,0,1,1,1,0,0,Network Latency
844,1,0,0,1,1,0,1,Database Bug
845,0,0,1,1,1,0,1,Network Latency
846,1,0,0,0,0,1,0,Database Bug
847,0,0,1,1,0,0,0,Network Latency
848,0,1,0,0,0,0,0,Low Memory
849,1,0,0,0,0,1,1,Database Bug
850,0,1,0,0,0,0,1,Low Memory
851,0,0,1,1,0,0,1,Network Latency
852,0,1,0,0,0,1,0,Low Memory
853,0,1,0,0,0,0,1,Network Latency
854,0,0,1,0,0,0,0,Network Latency
855,1,1,0,0,0,1,1,Low Memory
856,0,1,1,1,1,0,0,Network Latency
857,1,0,0,1,1,1,1,Database Bug
858,1,1,1,1,0,0,0,Database Bug
859,1,0,1,1,0,0,0,Network Latency
860,0,0,1,0,1,0,0,Network Latency
861,1,1,0,0,1,0,0,Low Memory
862,1,0,0,0,0,0,1,Low Memory
863,1,0,0,0,0,0,0,Database Bug
864,0,0,0,0,1,0,0,Database Bug
865,1,1,1,0,0,1,0,Database Bug
866,1,1,0,0,1,0,0,Low Memory
867,1,0,0,0,1,0,0,Database Bug
868,1,1,1,1,1,1,0,Network Latency
869,0,0,1,1,0,0,1,Network Latency
870,0,0,0,0,0,0,0,Low Memory
871,1,0,0,0,1,1,0,Database Bug
872,0,0,0,1,0,1,0,Network Latency
873,0,0,1,0,0,1,0,Network Latency
874,1,1,0,0,1,0,1,Database Bug
875,1,0,0,0,1,0,0,Database Bug
876,1,1,1,0,0,1,1,Database Bug
877,0,0,1,1,0,1,0,Network Latency
878,1,0,0,1,1,1,1,Network Latency
879,1,0,0,0,1,0,0,Database Bug
880,0,1,1,1,0,1,1,Network Latency
881,1,1,0,0,1,1,1,Low Memory
882,0,0,1,0,1,1,0,Network Latency
883,0,0,0,0,0,1,0,Database Bug
884,1,0,0,1,1,1,0,Database Bug
885,0,0,1,1,0,1,1,Network Latency
886,1,1,0,0,0,0,0,Database Bug
887,0,0,1,1,0,0,0,Network Latency
888,0,0,1,1,1,1,0,Network Latency
889,1,1,1,1,1,0,0,Network Latency
890,1,1,0,1,0,1,0,Database Bug
891,1,1,0,1,1,1,0,Database Bug
892,1,0,0,1,1,1,0,Database Bug
893,0,0,0,0,0,0,1,Database Bug
894,1,1,0,0,1,0,1,Low Memory
895,0,1,1,0,1,0,0,Low Memory
896,0,0,0,0,0,0,1,Database Bug
897,0,0,0,1,0,0,0,Network Latency
898,1,1,1,0,0,0,0,Low Memory
899,0,1,1,1,1,0,0,Network Latency
900,1,0,0,0,1,1,0,Database Bug
901,1,0,0,1,1,1,0,Database Bug
902,0,0,0,1,1,0,0,Network Latency
903,1,1,0,0,0,0,0,Low Memory
904,0,1,0,0,1,0,1,Low Memory
905,1,1,0,0,1,1,0,Database Bug
906,1,0,0,0,0,0,0,Network Latency
907,1,0,0,1,1,1,0,Database Bug
908,1,0,0,0,0,0,1,Low Memory
909,1,0,0,0,1,1,0,Low Memory
910,0,1,0,0,1,1,0,Database Bug
911,1,0,0,0,1,1,1,Database Bug
912,0,1,0,0,1,1,0,Database Bug
913,0,0,1,1,1,1,1,Network Latency
914,1,0,1,0,1,1,0,Database Bug
915,1,0,0,0,1,1,0,Database Bug
916,1,0,0,0,0,1,0,Database Bug
917,1,1,1,0,0,0,1,Low Memory
918,0,0,1,1,1,0,0,Network Latency
919,1,0,0,0,0,1,0,Database Bug
920,1,0,0,0,1,0,0,Low Memory
921,1,0,0,0,1,1,0,Database Bug
922,1,0,0,1,1,1,0,Database Bug
923,0,0,1,0,1,0,1,Network Latency
924,0,1,0,0,0,0,1,Low Memory
925,0,0,0,1,0,0,1,Network Latency
926,0,0,1,1,0,1,0,Network Latency
927,0,0,0,0,1,1,0,Database Bug
928,1,1,0,0,1,0,1,Low Memory
929,1,0,0,1,0,1,0,Database Bug
930,0,0,1,1,0,0,0,Network Latency
931,0,1,1,1,1,1,0,Network Latency
932,0,0,1,0,1,0,0,Network Latency
933,1,0,0,0,0,0,0,Database Bug
934,1,0,0,0,1,0,0,Database Bug
935,0,0,1,1,0,0,0,Network Latency
936,0,0,0,0,1,0,0,Network Latency
937,0,1,1,1,0,1,1,Network Latency
938,1,1,0,0,1,0,1,Low Memory
939,1,1,1,1,1,0,1,Low Memory
940,1,1,0,0,1,1,1,Low Memory
941,1,0,1,1,0,0,0,Network Latency
942,1,1,0,1,0,1,1,Database Bug
943,0,0,1,1,1,0,0,Network Latency
944,1,0,0,1,1,0,1,Database Bug
945,0,0,1,1,1,0,1,Network Latency
946,1,0,0,0,0,1,0,Database Bug
947,0,0,1,1,0,0,0,Network Latency
948,0,1,0,0,0,0,0,Low Memory
949,1,0,0,0,0,1,1,Database Bug
950,0,1,0,0,0,0,1,Low Memory
951,0,0,1,1,0,0,1,Network Latency
952,0,1,0,0,0,1,0,Low Memory
953,0,1,0,0,0,0,1,Network Latency
954,0,0,1,0,0,0,0,Network Latency
955,1,1,0,0,0,1,1,Low Memory
956,0,1,1,1,1,0,0,Network Latency
957,1,0,0,1,1,1,1,Database Bug
958,1,1,1,1,0,0,0,Database Bug
959,1,0,1,1,0,0,0,Network Latency
960,0,0,1,0,1,0,0,Network Latency
961,1,1,0,0,1,0,0,Low Memory
962,1,0,0,0,0,0,1,Low Memory
963,1,0,0,0,0,0,0,Database Bug
964,0,0,0,0,1,0,0,Database Bug
965,1,1,1,0,0,1,0,Database Bug
966,1,1,0,0,1,0,0,Low Memory
967,1,0,0,0,1,0,0,Database Bug
968,1,1,1,1,1,1,0,Network Latency
969,0,0,1,1,0,0,1,Network Latency
970,0,0,0,0,0,0,0,Low Memory
971,1,0,0,0,1,1,0,Database Bug
972,0,0,0,1,0,1,0,Network Latency
973,0,0,1,0,0,1,0,Network Latency
974,1,1,0,0,1,0,1,Database Bug
975,1,0,0,0,1,0,0,Database Bug
976,1,1,1,0,0,1,1,Database Bug
977,0,0,1,1,0,1,0,Network Latency
978,1,0,0,1,1,1,1,Network Latency
979,1,0,0,0,1,0,0,Database Bug
980,0,1,1,1,0,1,1,Network Latency
981,1,1,0,0,1,1,1,Low Memory
982,0,0,1,0,1,1,0,Network Latency
983,0,0,0,0,0,1,0,Database Bug
984,1,0,0,1,1,1,0,Database Bug
985,0,0,1,1,0,1,1,Network Latency
986,1,1,0,0,0,0,0,Database Bug
987,0,0,1,1,0,0,0,Network Latency
988,0,0,1,1,1,1,0,Network Latency
989,1,1,1,1,1,0,0,Network Latency
990,1,1,0,1,0,1,0,Database Bug
991,1,1,0,1,1,1,0,Database Bug
992,1,0,0,1,1,1,0,Database Bug
993,0,0,0,0,0,0,1,Database Bug
994,1,1,0,0,1,0,1,Low Memory
995,0,1,1,0,1,0,0,Low Memory
996,0,0,0,0,0,0,1,Database Bug
997,0,0,0,1,0,0,0,Network Latency
998,1,1,1,0,0,0,0,Low Memory
999,0,1,1,1,1,0,0,Network Latency
1000,1,0,0,0,1,1,0,Database Bug
